Sample,11-deoxycorticosterone Results,11-deoxycortisol Results,17-hydroxyprogesterone Results,21-deoxycortisol Results,Aldosterone Results,Androstenedione Results,Corticosterone Results,Cortisol Results,Cortisone Results,Dexamethasone Results,DHEA Results,DHEAS Results,Dihydrotestosterone Results,Progesterone Results,Testosterone Results
Data File,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.
Blank1.d,,6.421,0.381,,,2.268,1.857,6.512,34.778,3.551,,,,,4.447
20260122_SST01.d,0.611,1.44,1.701,1.979,1.871,1.25,3.768,19.745,2.334,8.452,28.833,398.271,2.921,1.138,0.716
20260122_SST02.d,0.643,1.34,1.532,2.053,1.685,1.437,4.167,16.783,3.456,7.785,21.295,378.507,3.256,1.398,0.724
20260122_SST03.d,0.686,1.362,1.304,2.196,1.972,1.315,4.022,18.689,3.182,9.389,18.266,395.291,3.354,1.314,0.802
20260122_SST04.d,0.623,1.326,1.594,2.311,1.712,1.536,3.785,17.189,2.78,8.227,26.656,370.92,3.229,1.32,0.768
20260122_SST05.d,0.692,1.397,1.519,2.377,1.857,1.487,4.322,16.116,3.37,8.165,33.537,368.997,3.096,1.283,0.691
20260122_SST06.d,0.579,1.678,1.562,2.113,1.663,1.715,4.044,16.7,3.008,8.864,36.081,418.666,3.049,1.323,0.858
PBlank1_P1.d,0.028,0.038,0,0,0.035,0,0.048,0,0,,0,34.647,,0,0
Cal 0_P1.d,,0.037,0,0,0.035,0.067,0.06,0.062,0,0.273,2.122,35.134,0,0,0.013
Cal A_P1.d,0.164,0.355,0.345,0.287,0.286,0.348,1.081,5.911,1.486,1.433,1.826,196.183,0.363,0.325,0.143
Cal B_P1.d,0.283,0.791,0.722,0.798,0.665,0.92,1.978,14.515,3.271,3.366,10.74,352.113,1.037,0.837,0.464
Cal C_P1.d,0.72,1.329,1.996,1.949,1.112,2.408,5.387,39.473,9.758,7.732,16.845,805.856,1.451,2.26,1.439
Cal D_P1.d,1.86,5.37,5.512,5.131,2.596,6.228,15.215,86.68,26.443,22.919,36.929,2088.528,1.867,5.381,4.045
