Sample,17-hydroxypregnenolone Results,Estradiol Results,Estrone Results
Data File,Calc. Conc.,Calc. Conc.,Calc. Conc.
Blank1_P2.d,,2.229,1.464
PBlank1_P2.d,0.515,0.001,0.001
Cal 0_P2.d,0.854,0,0.001
Cal A_P2.d,0.951,0.106,0.039
Cal B_P2.d,2.381,0.323,0.093
Cal C_P2.d,6.154,0.76,0.251
Cal D_P2.d,15.554,1.921,0.748
Cal E_P2.d,45.429,5.303,1.884
Cal F_P2.d,115.6,14.226,4.625
Blank2_P2.d,,4.411,1.322
QC_Low1_P2.d,4.403,0.562,0.2
QC_High1_P2.d,77.296,10.107,3.345
Blank3_P2.d,,2.72,0.514
SKML2026_1A-a_P2.d,2.607,0.396,0.176
SKML2026_1A-b_P2.d,2.705,0.361,0.177
SKML2026_1A-c_P2.d,2.528,0.323,0.158
SKML2026_1B-a_P2.d,3.228,0.183,0.162
SKML2026_1B-b_P2.d,3.805,0.147,0.189
SKML2026_1B-c_P2.d,3.517,0.172,0.185
SKML2026_2A-a_P2.d,2.428,0.884,0.116
SKML2026_2A-b_P2.d,2.691,0.835,0.14
SKML2026_2A-c_P2.d,3.699,0.921,0.124
SKML2026_2B-a_P2.d,3.666,0.071,0.133
SKML2026_2B-b_P2.d,4.586,0.065,0.126
SKML2026_2B-c_P2.d,4.775,0.094,0.132
SKML2026_3A-a_P2.d,4.144,0.817,0.59
SKML2026_3A-b_P2.d,3.931,0.982,0.529
SKML2026_3A-c_P2.d,3.459,0.788,0.548
SKML2026_3B-a_P2.d,3.59,0.805,0.288
SKML2026_3B-b_P2.d,3.262,0.812,0.323
SKML2026_3B-c_P2.d,3.163,0.735,0.265
PB1_P2.d,3.676,0.079,0.1
PBlank2_P2.d,,0,0.001
QC_Low2_P2.d,4.4,0.502,0.181
QC_High2_P2.d,89.288,9.679,3.37
