Sample,,,,,,,,,11-deoxycorticosterone Results,11-deoxycortisol Results,17-hydroxyprogesterone Results,21-deoxycortisol Results,Aldosterone Results,Androstenedione Results,Corticosterone Results,Cortisol Results,Cortisone Results,Dexamethasone Results,DHEA Results,DHEAS Results,Dihydrotestosterone Results,Progesterone Results,Testosterone Results
Name,Data File,Data Path,Type,Level,Acq. Date-Time,Sample Group,Pos.,,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.,Calc. Conc.
Blank1_P1,Blank1_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,DoubleBlank,,4/20/2026 18:09,,,,3.24135393,,1.512881529,,1.189388035,1.710117504,4.001494295,,,4.707481028,,258.0081376,3.270538151,4.667661876,0.745496679
PBlank1_P1,PBlank1_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Blank,,4/20/2026 18:21,,P1-A1,,0.001447834,0,0.192592907,0.175746182,,0,0.203754926,0,0.18074619,0.187138317,,0,0,0.149221943,0.01278831
Cal 0_P1,Cal 0_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,MatrixBlank,,4/20/2026 18:34,,P1-A2,,0.008268377,0,0.20105691,0.170939303,,0.017647853,0.204188214,0,0.236059036,0.182258097,1.870523996,0,0,0.181019764,0.031520811
Cal A_P1,Cal A_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,A,4/20/2026 18:48,,P1-A3,,0.130364275,0.243091872,0.382262834,0.361570327,0.224278776,0.334119685,0.998373279,5.263443077,1.537427988,1.298297732,2.634567269,131.4702751,0.431279677,0.377841509,0.158840432
Cal B_P1,Cal B_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,B,4/20/2026 19:01,,P1-A4,,0.318068874,0.793716962,0.646897103,0.645728129,0.626270133,1.022338228,2.104866699,13.81927845,3.550424904,3.339080801,10.06949557,283.8905822,0.956703214,0.725914382,0.447443451
Cal C_P1,Cal C_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,C,4/20/2026 19:14,,P1-A5,,0.760481942,2.048786614,1.765882603,1.507795245,1.57240798,2.318991038,6.170980015,35.70099958,8.424296394,8.385194275,15.18334021,1163.238986,1.365115135,1.876337344,1.221297587
Cal D_P1,Cal D_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,D,4/20/2026 19:27,,P1-A6,,2.455592309,6.09737074,6.069794203,6.236334187,2.655286183,6.750526724,13.15484484,129.6616534,26.78508849,25.23538932,31.24714293,2619.674855,2.111990379,6.507669811,4.476825118
Cal E_P1,Cal E_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,E,4/20/2026 19:41,,P1-A7,,5.723023075,13.06421374,12.11759442,13.56663525,5.591024491,15.06092998,46.06918659,237.6233053,67.32408607,60.3313755,77.1783241,6250.077397,3.168170884,15.18984322,14.82978664
Cal F_P1,Cal F_P1.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,F,4/20/2026 19:54,,P1-A8,,15.53628454,37.1761603,38.70054737,37.06352411,12.86028968,43.88530519,109.8936894,713.45382,177.8688666,163.4349801,158.3782158,17452.69337,5.488802646,40.76100208,46.42228157
