Sample,,,,,,,,,17-hydroxypregnenolone Results,Estradiol Results,Estrone Results
Name,Data File,Data Path,Type,Level,Acq. Date-Time,Sample Group,Pos.,,Calc. Conc.,Calc. Conc.,Calc. Conc.
PBlank1_P2,Blank1_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Blank,,4/20/2026 22:59,,P1-A1,,1.505,0.000,0.000
Cal 0_P2,Cal 0_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,MatrixBlank,,4/20/2026 23:08,,P1-A2,,0.000,0.002,0.000
Cal A_P2,Cal A_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,A,4/20/2026 23:16,,P1-A3,,1.046,0.110,0.038
Cal B_P2,Cal B_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,B,4/20/2026 23:25,,P1-A4,,2.242,0.291,0.099
Cal C_P2,Cal C_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,C,4/20/2026 23:33,,P1-A5,,5.029,0.780,0.264
Cal D_P2,Cal D_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,D,4/20/2026 23:42,,P1-A6,,18.539,2.039,0.716
Cal E_P2,Cal E_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,E,4/20/2026 23:50,,P1-A7,,43.131,5.280,1.804
Cal F_P2,Cal F_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Cal,F,4/20/2026 23:59,,P1-A8,,116.081,14.153,4.710
Blank2_P2,Blank2_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,DoubleBlank,,4/21/2026 0:07,,,,,6.549,1.906
QC_Low1_P2,QC_Low1_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,QC,Low,4/21/2026 0:15,,P1-A9,,5.404,0.549,0.185
QC_High1_P2,QC_High1_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,QC,High,4/21/2026 0:23,,P1-A10,,84.336,8.805,3.084
Blank3_P2,Blank3_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,DoubleBlank,,4/21/2026 0:32,,,,,7.256,1.079
SKML2026_3A_P2,SKML2026_3A_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 0:39,SKML2026_3A,P1-A11,,2.964,0.763,0.548
SKML2026_3Ab_P2,SKML2026_3Ab_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 0:47,SKML2026_3A,P1-A12,,3.729,0.964,0.603
SKML2026_3B_P2,SKML2026_3B_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 0:56,SKML2026_3B,P1-B1,,2.540,0.787,0.306
SKML2026_3Bb_P2,SKML2026_3Bb_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 1:04,SKML2026_3B,P1-B2,,2.753,0.874,0.255
SKML2026_4A_P2,SKML2026_4A_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 1:13,SKML2026_4A,P1-B3,,1.860,0.185,0.162
SKML2026_4Ab_P2,SKML2026_4Ab_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 1:21,SKML2026_4A,P1-B4,,2.790,0.147,0.153
SKML2026_4B_P2,SKML2026_4B_ P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 1:30,SKML2026_4B,P1-B5,,1.903,0.447,0.147
SKML2026_4B_nowash2_P2,SKML2026_4B_ nowash2_P2.d,D:\MassHunter\Data\LIMS\P25001\ISOSP-23_20260420\RawData_ISOSP-23,Sample,,4/21/2026 1:38,SKML2026_4B,P1-B6,,,1.852,0.349
